"Date","Price","Open","High","Low","Vol.","Change %"
"07/09/1986","343.93","348.40","343.93","343.93","","0.00%"
"07/08/1986","343.93","344.97","343.93","343.93","","0.61%"
"07/07/1986","341.85","342.06","341.85","341.85","","0.43%"
"07/04/1986","340.40","340.40","340.40","340.40","","0.00%"
"07/03/1986","340.40","340.40","340.40","340.40","","0.12%"
"07/02/1986","339.98","341.96","339.98","339.98","","-0.58%"
"07/01/1986","341.96","343.41","341.96","341.96","","-0.45%"
"06/30/1986","343.52","344.45","343.52","343.52","","0.92%"
"06/27/1986","340.40","341.96","340.40","340.40","","-0.46%"
"06/26/1986","341.96","342.58","341.96","341.96","","0.24%"
"06/25/1986","341.13","341.96","341.13","341.13","","0.34%"
"06/24/1986","339.98","339.98","339.98","339.98","","0.71%"
"06/23/1986","337.59","338.42","337.59","337.59","","0.28%"
"06/20/1986","336.65","337.59","336.65","336.65","","0.00%"
"06/19/1986","336.65","337.59","336.65","336.65","","0.00%"
"06/18/1986","336.65","336.65","336.65","336.65","","1.00%"
"06/17/1986","333.33","334.89","333.33","333.33","","-0.77%"
"06/16/1986","335.93","343.52","335.93","335.93","","-2.47%"
"06/13/1986","344.45","344.97","344.45","344.45","","0.27%"
"06/12/1986","343.52","346.64","343.52","343.52","","-0.27%"
"06/11/1986","344.45","345.49","344.45","344.45","","-0.30%"
"06/10/1986","345.49","346.64","345.49","345.49","","2.09%"
"06/09/1986","338.42","338.94","338.42","338.42","","0.00%"
"06/06/1986","338.42","338.94","338.42","338.42","","0.00%"
"06/05/1986","338.42","338.94","338.42","338.42","","0.25%"
"06/04/1986","337.59","338.94","337.59","337.59","","-0.40%"
"06/03/1986","338.94","339.98","338.94","338.94","","0.15%"
"06/02/1986","338.42","340.40","338.42","338.42","","-0.46%"
"05/30/1986","339.98","340.40","339.98","339.98","","0.00%"
"05/29/1986","339.98","339.98","339.98","339.98","","0.31%"
"05/28/1986","338.94","340.40","338.94","338.94","","0.00%"
"05/27/1986","338.94","338.94","338.94","338.94","","0.15%"
"05/23/1986","338.42","338.94","338.42","338.42","","0.00%"
"05/22/1986","338.42","338.42","338.42","338.42","","0.74%"
"05/21/1986","335.93","336.65","335.93","335.93","","-0.03%"
"05/20/1986","336.03","337.90","336.03","336.03","","-0.64%"
"05/19/1986","338.21","340.40","338.21","338.21","","-0.76%"
"05/16/1986","340.81","341.13","340.81","340.81","","0.37%"
"05/15/1986","339.57","340.81","339.57","339.57","","-0.18%"
"05/14/1986","340.19","341.54","340.19","340.19","","0.09%"
"05/13/1986","339.88","342.58","339.88","339.88","","-0.91%"
"05/12/1986","343.00","343.93","343.00","343.00","","-0.24%"
"05/09/1986","343.83","344.66","343.83","343.83","","0.24%"
"05/08/1986","343.00","343.10","343.00","343.00","","0.18%"
"05/07/1986","342.40","342.40","342.40","342.40","","0.59%"
"05/06/1986","340.40","340.40","340.40","340.40","","-0.76%"
"05/05/1986","343.00","343.00","343.00","343.00","","0.41%"
"05/02/1986","341.60","341.60","341.60","341.60","","-1.07%"
"05/01/1986","345.30","345.30","345.30","345.30","","-0.12%"
"04/30/1986","345.70","345.70","345.70","345.70","","0.96%"
"04/29/1986","342.40","342.40","342.40","342.40","","-0.29%"
"04/28/1986","343.40","343.40","343.40","343.40","","-0.29%"
"04/25/1986","344.40","344.40","344.40","344.40","","-0.09%"
"04/24/1986","344.70","344.70","344.70","344.70","","-0.43%"
"04/23/1986","346.20","346.20","346.20","346.20","","0.55%"
"04/22/1986","344.30","344.30","344.30","344.30","","0.79%"
"04/21/1986","341.60","341.60","341.60","341.60","","-0.41%"
"04/18/1986","343.00","343.00","343.00","343.00","","0.85%"
"04/17/1986","340.10","340.10","340.10","340.10","","0.32%"
"04/16/1986","339.00","339.00","339.00","339.00","","-0.88%"
"04/15/1986","342.00","342.00","342.00","342.00","","0.06%"
"04/14/1986","341.80","341.80","341.80","341.80","","-0.03%"
"04/11/1986","341.90","341.90","341.90","341.90","","1.24%"
"04/10/1986","337.70","337.70","337.70","337.70","","-0.12%"
"04/09/1986","338.10","338.10","338.10","338.10","","-0.44%"
"04/08/1986","339.60","339.60","339.60","339.60","","0.50%"
"04/07/1986","337.90","337.90","337.90","337.90","","1.02%"
"04/04/1986","334.50","334.50","334.50","334.50","","-0.06%"
"04/03/1986","334.70","334.70","334.70","334.70","","-0.24%"
"04/02/1986","335.50","335.50","335.50","335.50","","0.72%"
"04/01/1986","333.10","333.10","333.10","333.10","","-1.48%"
"03/31/1986","338.10","338.10","338.10","338.10","","-1.77%"
"03/27/1986","344.20","344.20","344.20","344.20","","-0.03%"
"03/26/1986","344.30","344.30","344.30","344.30","","-2.19%"
"03/25/1986","352.00","352.00","352.00","352.00","","0.46%"
"03/24/1986","350.40","350.40","350.40","350.40","","-0.71%"
"03/21/1986","352.90","352.90","352.90","352.90","","0.66%"
"03/20/1986","350.60","350.60","350.60","350.60","","1.12%"
"03/19/1986","346.70","346.70","346.70","346.70","","-1.25%"
"03/18/1986","351.10","351.10","351.10","351.10","","0.34%"
"03/17/1986","349.90","349.90","349.90","349.90","","0.55%"
"03/14/1986","348.00","348.00","348.00","348.00","","-0.51%"
"03/13/1986","349.80","349.80","349.80","349.80","","1.66%"
"03/12/1986","344.10","344.10","344.10","344.10","","0.35%"
"03/11/1986","342.90","342.90","342.90","342.90","","0.70%"
"03/10/1986","340.50","340.50","340.50","340.50","","-0.82%"
"03/07/1986","343.30","343.30","343.30","343.30","","-0.41%"
"03/06/1986","344.70","344.70","344.70","344.70","","0.88%"
"03/05/1986","341.70","341.70","341.70","341.70","","1.36%"
"03/04/1986","337.10","337.10","337.10","337.10","","0.45%"
"03/03/1986","335.60","335.60","335.60","335.60","","-0.74%"
"02/28/1986","338.10","338.10","338.10","338.10","","0.36%"
"02/27/1986","336.90","336.90","336.90","336.90","","-2.63%"
"02/26/1986","346.00","346.00","346.00","346.00","","-1.87%"
"02/25/1986","352.60","352.60","352.60","352.60","","3.10%"
"02/24/1986","342.00","342.00","342.00","342.00","","1.18%"
"02/21/1986","338.00","338.00","338.00","338.00","","0.21%"
"02/20/1986","337.30","337.30","337.30","337.30","","-1.26%"
"02/19/1986","341.60","341.60","341.60","341.60","","1.21%"
"02/18/1986","337.50","337.50","337.50","337.50","","1.87%"
"02/14/1986","331.30","331.30","331.30","331.30","","-0.81%"
"02/13/1986","334.00","334.00","334.00","334.00","","-1.04%"
"02/12/1986","337.50","337.50","337.50","337.50","","0.45%"
"02/11/1986","336.00","336.00","336.00","336.00","","-1.21%"
"02/10/1986","340.10","340.10","340.10","340.10","","0.80%"
"02/07/1986","337.40","337.40","337.40","337.40","","0.09%"
"02/06/1986","337.10","337.10","337.10","337.10","","-0.06%"
"02/05/1986","337.30","337.30","337.30","337.30","","-0.44%"
"02/04/1986","338.80","338.80","338.80","338.80","","-2.45%"
"02/03/1986","347.30","347.30","347.30","347.30","","-0.91%"
"01/31/1986","350.50","350.50","350.50","350.50","","-2.15%"
"01/30/1986","358.20","358.20","358.20","358.20","","1.33%"
"01/29/1986","353.50","353.50","353.50","353.50","","0.08%"
"01/28/1986","353.20","353.20","353.20","353.20","","-1.45%"
"01/27/1986","358.40","358.40","358.40","358.40","","1.24%"
"01/24/1986","354.00","354.00","354.00","354.00","","1.06%"
"01/23/1986","350.30","350.30","350.30","350.30","","-0.82%"
"01/22/1986","353.20","353.20","353.20","353.20","","-0.98%"
"01/21/1986","356.70","356.70","356.70","356.70","","1.62%"
"01/20/1986","351.00","351.00","351.00","351.00","","-0.45%"
"01/17/1986","352.60","352.60","352.60","352.60","","-2.92%"
"01/16/1986","363.20","363.20","363.20","363.20","","4.67%"
"01/15/1986","347.00","347.00","347.00","347.00","","1.76%"
"01/14/1986","341.00","341.00","341.00","341.00","","0.47%"
"01/13/1986","339.40","339.40","339.40","339.40","","-0.29%"
"01/10/1986","340.40","340.40","340.40","340.40","","2.07%"
"01/09/1986","333.50","333.50","333.50","333.50","","0.27%"
"01/08/1986","332.60","332.60","332.60","332.60","","0.73%"
"01/07/1986","330.20","330.20","330.20","330.20","","0.67%"
"01/06/1986","328.00","328.00","328.00","328.00","","0.31%"
"01/03/1986","327.00","327.00","327.00","327.00","","0.15%"
"01/02/1986","326.50","326.50","326.50","326.50","","-0.97%"
"12/31/1985","329.70","329.70","329.70","329.70","","0.83%"
"12/30/1985","327.00","327.00","327.00","327.00","","0.06%"
"12/27/1985","326.80","326.80","326.80","326.80","","0.40%"
"12/26/1985","325.50","325.50","325.50","325.50","","-0.64%"
"12/24/1985","327.60","327.60","327.60","327.60","","0.00%"
"12/23/1985","327.60","327.60","327.60","327.60","","0.65%"
"12/20/1985","325.50","325.50","325.50","325.50","","-0.09%"
"12/19/1985","325.80","325.80","325.80","325.80","","1.72%"
"12/18/1985","320.30","320.30","320.30","320.30","","-0.25%"
"12/17/1985","321.10","321.10","321.10","321.10","","0.78%"
"12/16/1985","318.60","318.60","318.60","318.60","","0.19%"
"12/13/1985","318.00","318.00","318.00","318.00","","0.09%"
"12/12/1985","317.70","317.70","317.70","317.70","","0.70%"
"12/11/1985","315.50","315.50","315.50","315.50","","-0.54%"
"12/10/1985","317.20","317.20","317.20","317.20","","-0.13%"
"12/09/1985","317.60","317.60","317.60","317.60","","-1.46%"
