"Date","Price","Open","High","Low","Vol.","Change %"
"10/29/1996","380.60","382.85","380.60","380.60","","-0.69%"
"10/28/1996","383.25","382.75","383.25","383.25","","0.10%"
"10/25/1996","382.85","383.15","382.85","382.85","","-0.08%"
"10/24/1996","383.15","383.80","383.15","383.15","","-0.18%"
"10/23/1996","383.85","383.85","383.85","383.85","","-0.04%"
"10/22/1996","384.00","381.70","384.00","384.00","","0.55%"
"10/21/1996","381.90","380.25","381.90","381.90","","0.41%"
"10/18/1996","380.35","380.50","380.35","380.35","","-0.07%"
"10/17/1996","380.60","381.00","380.60","380.60","","-0.14%"
"10/16/1996","381.15","381.30","381.15","381.15","","-0.03%"
"10/15/1996","381.25","381.75","381.25","381.25","","-0.13%"
"10/14/1996","381.75","381.25","381.75","381.75","","0.13%"
"10/11/1996","381.25","382.25","381.25","381.25","","-0.21%"
"10/10/1996","382.05","381.45","382.05","382.05","","0.18%"
"10/09/1996","381.35","381.15","381.35","381.35","","-0.01%"
"10/08/1996","381.40","380.65","381.40","381.40","","0.20%"
"10/07/1996","380.65","380.35","380.65","380.65","","0.04%"
"10/04/1996","380.50","380.50","380.50","380.50","","0.09%"
"10/03/1996","380.15","379.90","380.15","380.15","","0.09%"
"10/02/1996","379.80","378.50","379.80","379.80","","0.28%"
"10/01/1996","378.75","378.45","378.75","378.75","","0.05%"
"09/30/1996","378.55","380.40","378.55","378.55","","-0.53%"
"09/27/1996","380.55","381.25","380.55","380.55","","-0.21%"
"09/26/1996","381.35","382.55","381.35","381.35","","-0.33%"
"09/25/1996","382.60","383.00","382.60","382.60","","-0.07%"
"09/24/1996","382.85","381.75","382.85","382.85","","0.34%"
"09/23/1996","381.55","380.95","381.55","381.55","","0.08%"
"09/20/1996","381.25","383.00","381.25","381.25","","-0.39%"
"09/19/1996","382.75","383.35","382.75","382.75","","-0.16%"
"09/18/1996","383.35","383.00","383.35","383.35","","0.10%"
"09/17/1996","382.95","383.35","382.95","382.95","","-0.10%"
"09/16/1996","383.35","382.55","383.35","383.35","","0.20%"
"09/13/1996","382.60","382.65","382.60","382.60","","-0.01%"
"09/12/1996","382.65","382.75","382.65","382.65","","-0.05%"
"09/11/1996","382.85","383.35","382.85","382.85","","-0.09%"
"09/10/1996","383.20","383.50","383.20","383.20","","-0.10%"
"09/09/1996","383.60","385.10","383.60","383.60","","-0.43%"
"09/06/1996","385.25","385.75","385.25","385.25","","-0.13%"
"09/05/1996","385.75","385.85","385.75","385.75","","0.00%"
"09/04/1996","385.75","386.35","385.75","385.75","","-0.19%"
"09/03/1996","386.50","386.75","386.50","386.50","","-0.10%"
